"","detectorid","highwayid","enabledflag","locationtext","detectortype","detectorclass","detectortitle","detectorstatus","lanenumber","stationid","rampid","controllerid","end_date","start_date","milepost","agency_lane","atms_id"
"1678",1616,11,1,"Helvetia EB",8,1,"US26E61.25-ML2",2,2,1081,1081,1081,2015-06-02 15:05:00,2004-01-01 00:00:00,61.25,2,1616
"1679",1622,11,1,"Cornelius Ps Rd EB",8,1,"US26E62.47-ML1",2,1,1082,1082,1082,2015-06-02 15:05:00,2004-01-01 00:00:00,62.47,1,1622
"1680",1623,11,1,"Cornelius Ps Rd EB",8,1,"US26E62.47-ML2",2,2,1082,1082,1082,2015-06-02 15:05:00,2004-01-01 00:00:00,62.47,2,1623
"1681",1629,11,1,"185th Ave NB to EB",8,1,"US26E64.50-ML1",2,1,1083,1083,1083,2015-06-02 15:05:00,2004-01-01 00:00:00,64.34,1,1629
"1682",1630,11,1,"185th Ave NB to EB",8,1,"US26E64.50-ML2",2,2,1083,1083,1083,2015-06-02 15:05:00,2004-01-01 00:00:00,64.34,2,1630
"1683",1636,11,1,"185th Ave SB to EB",8,1,"US26E64.60-ML1",2,1,1084,1084,1084,2015-06-02 15:05:00,2004-01-01 00:00:00,64.29,1,1636
"1684",1637,11,1,"185th Ave SB to EB",8,1,"US26E64.60-ML2",2,2,1084,1084,1084,2015-06-02 15:05:00,2004-01-01 00:00:00,64.29,2,1637
"1685",1659,11,1,"Cedar Hills Blvd EB",8,1,"US26E68.55-ML3",0,3,1087,1087,1087,2015-06-02 15:05:00,2004-01-01 00:00:00,68.55,3,1659
"1686",1708,12,1,"Cedar Hills SB to WB",8,1,"US26W68.20-ML1",0,1,1094,1094,1094,2015-06-02 15:05:00,2004-01-01 00:00:00,68.2,1,1708
"1687",1709,12,1,"Cedar Hills SB to WB",8,1,"US26W68.20-ML2",0,2,1094,1094,1094,2015-06-02 15:05:00,2004-01-01 00:00:00,68.2,2,1709
"1688",1710,12,1,"Cedar Hills SB to WB",8,1,"US26W68.20-ML3",0,3,1094,1094,1094,2015-06-02 15:05:00,2004-01-01 00:00:00,68.2,3,1710
"1689",1715,12,1,"Murray Rd WB",8,1,"US26W67.00-ML1",2,1,1095,1095,1095,2015-06-02 15:05:00,2004-01-01 00:00:00,67,1,1715
"1690",1716,12,1,"Murray Rd WB",8,1,"US26W67.00-ML2",2,2,1095,1095,1095,2015-06-02 15:05:00,2004-01-01 00:00:00,67,2,1716
