Location,Reading,Timestamp,,
,62,13:34:43,,
,62,13:34:45,,
,64,13:34:50,,
,66,13:34:53,,
,65,13:34:55,,
,62,13:34:57,,
,62,13:34:59,,
,59,13:35:00,,
,62,13:35:02,,
,62,13:35:04,,
,63,13:35:06,,
,62,13:35:07,,
,65,13:35:10,,
,63,13:35:12,,
,64,13:35:13,,
,65,13:35:16,,
,64,13:35:18,,
,59,13:35:21,,
,69,13:35:26,,
,64,13:35:29,,
,62,13:35:33,,
,60,13:35:36,,
,61,13:35:38,,
,58,13:35:46,,
,57,13:35:49,,
,62,13:35:51,,
,65,13:35:55,,
,60,13:36:03,,
,55,13:36:05,,
,56,13:36:06,,
,65,13:36:07,,
,60,13:36:09,,
,60,13:36:12,,
,63,13:36:16,,
,62,13:36:17,,
,63,13:36:22,,
,59,13:36:26,,
,58,13:36:29,,
,57,13:36:30,,
,59,13:36:32,,
,60,13:36:34,,
,62,13:36:37,,
,63,13:36:40,,
,63,13:36:42,,
,62,13:36:45,,
,64,13:36:46,,
,66,13:36:47,,
,63,13:36:54,,
,62,13:36:58,,
,64,13:37:01,,
,68,13:37:05,,
,66,13:37:07,,
,66,13:37:11,,
,64,13:37:12,,
,66,13:37:16,,
,65,13:37:20,,
,72,13:37:23,,
,63,13:37:33,,
,65,13:37:48,,
,60,13:37:57,,
,64,13:38:04,,
,63,13:38:06,,
,58,13:38:09,,
,58,13:38:10,,
,59,13:38:13,,
,58,13:38:14,,
,58,13:38:17,,
,58,13:38:18,,
