detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id
100448,2,1,Carman (2R322) to SB I-5,8,1,100448/2,0,2,1038,1038,1038,,2014-09-19 00:00:00-07,291.25,2,1066
100449,2,1,Carman (2R322) to SB I-5,8,1,100449/3,0,1,1038,1038,1038,,2014-09-19 00:00:00-07,291.25,3,1065
100444,2,1,Lower Boones (2R321) to SB I-5,8,1,100444/1,0,3,1039,1039,1039,,2014-09-19 00:00:00-07,290.4,1,1051
100445,2,1,Lower Boones (2R321) to SB I-5,8,1,100445/2,0,2,1039,1039,1039,,2014-09-19 00:00:00-07,290.4,2,1050
100446,2,1,Lower Boones (2R321) to SB I-5,8,1,100446/3,0,1,1039,1039,1039,,2014-09-19 00:00:00-07,290.4,3,1049
100441,2,1,Nyberg (2R320) to SB I-5,8,1,100441/1,0,3,1040,1040,1040,,2014-09-19 00:00:00-07,289.38,1,1035
100442,2,1,Nyberg (2R320) to SB I-5,8,1,100442/2,0,2,1040,1040,1040,,2014-09-19 00:00:00-07,289.38,2,1034
100443,2,1,Nyberg (2R320) to SB I-5,8,1,100443/3,0,1,1040,1040,1040,,2014-09-19 00:00:00-07,289.38,3,1033
100922,3,1,82nd Dr/Gladstone (2R044) to NB I-205,8,1,100922/1,20,3,1042,1042,1042,,2014-09-01 00:00:00-07,11.05,1,1323
100923,3,1,82nd Dr/Gladstone (2R044) to NB I-205,8,1,100923/2,20,2,1042,1042,1042,,2014-09-01 00:00:00-07,11.05,2,1322
100926,3,1,Or 212/224 (2R045) to NB I-205,8,1,100926/2,20,3,1043,1043,1043,,2014-09-01 00:00:00-07,12.94,2,1331
100927,3,1,Or 212/224 (2R045) to NB I-205,8,1,100927/3,20,2,1043,1043,1043,,2014-09-01 00:00:00-07,12.94,3,1330
100931,3,1,Lawnfield (2R046) to NB I-205,8,1,100931/3,1,1,1044,1044,1044,,2014-12-02 16:17:40-08,13.58,3,1337
100930,3,1,Lawnfield (2R046) to NB I-205,8,1,100930/2,1,2,1044,1044,1044,,2014-12-02 16:17:40-08,13.58,2,1338
100929,3,1,Lawnfield (2R046) to NB I-205,8,1,100929/1,1,3,1044,1044,1044,,2014-12-02 16:17:40-08,13.58,1,1339
100937,3,1,Sunnyside (2R054) to NB I-205,8,1,100937/3,1,1,1045,1045,1045,,2014-12-01 16:01:20-08,14.32,3,1345
100936,3,1,Sunnyside (2R054) to NB I-205,8,1,100936/2,1,2,1045,1045,1045,,2014-12-01 16:01:20-08,14.32,2,1346
100935,3,1,Sunnyside (2R054) to NB I-205,8,1,100935/1,1,3,1045,1045,1045,,2014-12-01 16:01:20-08,14.32,1,1347
100940,3,1,Johnson Cr (2R049) to NB I-205,8,1,100940/3,1,1,1046,1046,1046,,2014-12-01 16:02:00-08,16.2,3,1353
100939,3,1,Johnson Cr (2R049) to NB I-205,8,1,100939/2,1,2,1046,1046,1046,,2014-12-01 16:02:00-08,16.2,2,1354
